,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
33,Comfort and Modern Studio Tifolia Apartment By Travelio,0,1,21,2,1200,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3149249
34,Cozy and Simply Studio Tifolia Apartment near Kelapa Gading By Travelio,0,1,21,2,1300,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,2649249
35,Affordable 2BR at Sentra Timur Apartment By Travelio,2,1,36,3,1300,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,Full Furnished,3161919
36,Simple Room at Way Seputih Residence near Central Park By Travelio,0,1,14,2,1300,"Jl. Way Seputih V No.2, RT.11/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-1,Full Furnished,2100000
37,Cozy and Simply Studio Titanium Square Apartment By Travelio,0,1,29,2,1300,"Jl. Buah No.4, RT.6/RW.4, Pekayon, Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710",1,Full Furnished,3225749
38,Functional Studio Green Pramuka Apartment near Shopping Center By Travelio,0,1,21,2,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3249999
39,Homey and Comfortable Studio at Green Pramuka City Apartment By Travelio,0,1,21,2,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,2799999
40,Cozy Studio Green Pramuka Apartment next to Mall By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3317371
41,Minimalist Studio with City View at Green Pramuka Apartment By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3317371
42,Tifolia Studio Apartment with Double Bed near LRT Station By Travelio,0,1,26,2,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3319128
43,Cozy and Stylish Studio Green Pramuka Apartment near Mall By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996
44,Cozy Studio with Direct Access to Mall at Green Pramuka Apartment By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996
45,New Modern Studio Apartment at Green Pramuka City By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996
46,Stylish and Convenient Studio Green Pramuka Apartment By Travelio,0,1,21,2,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3336309
